seed,n_routed,n_merged,n_quads,n_leftover_final,seconds
501,5531,92834,51948,0,17.40608263015747
502,5539,92826,51952,0,20.368176221847534
503,5533,92832,51949,0,17.201342582702637
504,5527,92838,51946,0,17.333208560943604
505,5529,92836,51947,0,17.206783056259155
506,5531,92834,51948,0,17.379251956939697
507,5533,92832,51949,0,20.44084882736206
508,5523,92842,51944,0,17.527013063430786
509,5525,92840,51945,0,17.686296463012695
510,5541,92824,51953,0,17.174244165420532
511,5545,92820,51955,0,20.425211191177368
512,5525,92840,51945,0,17.02608060836792
513,5539,92826,51952,0,17.152725219726562
514,5523,92842,51944,0,17.15825605392456
515,5523,92842,51944,0,17.182687997817993
516,5543,92822,51954,0,17.461692333221436
517,5537,92828,51951,0,20.26403784751892
518,5537,92828,51951,0,17.342265605926514
519,5515,92850,51940,0,17.139290809631348
520,5521,92844,51943,0,17.48499035835266
521,5533,92832,51949,0,20.215773820877075
522,5521,92844,51943,0,17.179410696029663
523,5519,92846,51942,0,17.200458765029907
524,5527,92838,51946,0,17.401700496673584
525,5531,92834,51948,0,19.990248441696167
526,5515,92850,51940,0,17.151910305023193
527,5525,92840,51945,0,17.285580158233643
528,5527,92838,51946,0,17.62918782234192
529,5525,92840,51945,0,20.35893201828003
530,5525,92840,51945,0,17.167200565338135
531,5539,92826,51952,0,17.25435757637024
532,5519,92846,51942,0,17.54400658607483
533,5537,92828,51951,0,17.251164436340332
534,5545,92820,51955,0,20.16904616355896
535,5533,92832,51949,0,17.05892777442932
536,5521,92844,51943,0,17.063408136367798
537,5523,92842,51944,0,17.273467540740967
538,5535,92830,51950,0,16.825660705566406
539,5517,92848,51941,0,20.353083848953247
540,5543,92822,51954,0,17.207962036132812
541,5535,92830,51950,0,17.349647760391235
542,5547,92818,51956,0,17.32295823097229
543,5521,92844,51943,0,17.563015460968018
544,5519,92846,51942,0,20.17021942138672
545,5533,92832,51949,0,17.27220892906189
546,5521,92844,51943,0,17.12661361694336
547,5539,92826,51952,0,17.747621536254883
548,5539,92826,51952,0,20.092901706695557
549,5513,92852,51939,0,17.372794151306152
550,5529,92836,51947,0,17.285440921783447
551,5527,92838,51946,0,17.5273380279541
552,5533,92832,51949,0,20.026341676712036
553,5535,92830,51950,0,17.271364212036133
554,5523,92842,51944,0,17.05923628807068
555,5515,92850,51940,0,17.53617215156555
556,5541,92824,51953,0,20.061959743499756
557,5501,92864,51933,0,17.171972036361694
558,5501,92864,51933,0,16.98028254508972
559,5503,92862,51934,0,17.40158700942993
560,5523,92842,51944,0,17.15913987159729
561,5527,92838,51946,0,19.997931957244873
562,5539,92826,51952,0,16.9753258228302
563,5539,92826,51952,0,17.29788064956665
