seed,n_routed,n_merged,n_quads,n_leftover_final,seconds
184,5535,92830,51950,0,17.840155839920044
185,5539,92826,51952,0,18.19200873374939
186,5527,92838,51946,0,20.342257499694824
187,5529,92836,51947,0,19.285564422607422
188,5547,92818,51956,0,18.573567390441895
189,5533,92832,51949,0,20.68107008934021
190,5521,92844,51943,0,17.422703504562378
191,5545,92820,51955,0,20.658594846725464
192,5527,92838,51946,0,18.661677360534668
193,5521,92844,51943,0,17.67573118209839
194,5537,92828,51951,0,20.887032508850098
195,5539,92826,51952,0,20.789559602737427
196,5547,92818,51956,0,18.459736585617065
197,5519,92846,51942,0,17.963785409927368
198,5535,92830,51950,0,20.52424907684326
199,5541,92824,51953,0,19.711646795272827
